,Title,Link
15,"Tuplas, estructuras de datos",https://www.youtube.com/embed/KQ4CYdCc6yw?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
16,"Diccionarios, estructuras de datos",https://www.youtube.com/embed/4Q46pJJAQQk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
17,"Clases, POO",https://www.youtube.com/embed/CHcXRjd5s1U?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
18,Captura errores,https://www.youtube.com/embed/8Z_q2IThENs?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
19,Crea tu primera ventana,https://www.youtube.com/embed/6gCKUNOUcew?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
20,Widgets principales tkinter,https://www.youtube.com/embed/dEr-CLcLBIQ?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
21,Posicionar ventana,https://www.youtube.com/embed/pgbQ-IKxryc?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
22,Radio button y check box,https://www.youtube.com/embed/KpGdp3Ur3yE?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
23,Texto e imagen en ventana tkinter,https://www.youtube.com/embed/aYxL8cyeH3o?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
24,Software necesario,https://www.youtube.com/embed/4Q46pJJAQQk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
25,Primera ventana,https://www.youtube.com/embed/PZCfpbDQNZA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
26,Boton,https://www.youtube.com/embed/3EVAtJl_BrA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
27,Funcion boton,https://www.youtube.com/embed/Li8GeI7XvDU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
28,Configuracion y posicion,https://www.youtube.com/embed/23mH59Yhu9M?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
29,Cajas de textos,https://www.youtube.com/embed/TGp3k1CccWA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
30,Instalando Flask,https://www.youtube.com/embed/3sp0KPLeSKk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
31,Primer contacto,https://www.youtube.com/embed/8Z_q2IThENs?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
32,Rutas,https://www.youtube.com/embed/3EVAtJl_BrA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
33,Redireccion,https://www.youtube.com/embed/Li8GeI7XvDU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
34,Plantillas,https://www.youtube.com/embed/23mH59Yhu9M?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
35,Herencia,https://www.youtube.com/embed/TGp3k1CccWA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
36,Archivos estaticos,https://www.youtube.com/embed/Cu5suLAsOUU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
37,Condiciones y bucles,https://www.youtube.com/embed/BuaYFB2e-qY?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
38,Includes,https://www.youtube.com/embed/HmOzz-NgnrQ?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
39,"Error 404, pagina no encontrada",https://www.youtube.com/embed/KQ4CYdCc6yw?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
40,Mensajes Flash,https://www.youtube.com/embed/4Q46pJJAQQk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
41,CRUD MySQL,https://www.youtube.com/embed/CHcXRjd5s1U?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
42,Publica tu app Flask,https://www.youtube.com/embed/8Z_q2IThENs?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
43,Captura error con Flask,https://www.youtube.com/embed/6gCKUNOUcew?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
44,Acceso usuario Flask,https://www.youtube.com/embed/dEr-CLcLBIQ?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
45,Introduccion a Numpy,https://www.youtube.com/embed/pgbQ-IKxryc?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
46,Primeros pasos con Numpy,https://www.youtube.com/embed/KpGdp3Ur3yE?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
47,Creando diferentes arrays,https://www.youtube.com/embed/aYxL8cyeH3o?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
48,Lectura y escritura de archivos con Numpy,https://www.youtube.com/embed/rVUjEp9GAOM?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
49,Propiedades y caracteristicas de arrays,https://www.youtube.com/embed/0QR6v0YrznA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
50,Operadores aritmeticos,https://www.youtube.com/embed/v_gciuu8t2E?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
51,Estadisticos basicos,https://www.youtube.com/embed/4jUIVxYLFkk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
52,Copia arrays,https://www.youtube.com/embed/HKmGtifHqIU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
53,Ordena arrays,https://www.youtube.com/embed/3OKVDv_8Dvg?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
54,Ejercicio practico,https://www.youtube.com/embed/3sp0KPLeSKk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
55,Ecuaciones lineales,https://www.youtube.com/embed/Li8GeI7XvDU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
56,Ejercicios varios,https://www.youtube.com/embed/Cu5suLAsOUU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
57,"Subconjuntos, indexado",https://www.youtube.com/embed/23mH59Yhu9M?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
58,Manipulando arrays,https://www.youtube.com/embed/TGp3k1CccWA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
59,Toma de contacto,https://www.youtube.com/embed/v_gciuu8t2E?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
60,Series,https://www.youtube.com/embed/4jUIVxYLFkk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
61,Filtros y operaciones basicas,https://www.youtube.com/embed/HKmGtifHqIU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
62,DataFrame,https://www.youtube.com/embed/3OKVDv_8Dvg?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
63,Escritura / lectura de datos,https://www.youtube.com/embed/3sp0KPLeSKk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
64,Seleccion por indices o columnas,https://www.youtube.com/embed/PZCfpbDQNZA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
65,Informacion basica,https://www.youtube.com/embed/3EVAtJl_BrA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
66,Aplicando funciones,https://www.youtube.com/embed/Li8GeI7XvDU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
67,Ejercicio practico de series,https://www.youtube.com/embed/23mH59Yhu9M?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
68,Ejercicio practico de DataFrame,https://www.youtube.com/embed/TGp3k1CccWA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
69,Valores faltantes,https://www.youtube.com/embed/Cu5suLAsOUU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
70,Trabajando con fechas / horas,https://www.youtube.com/embed/BuaYFB2e-qY?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
71,Primera grafica,https://www.youtube.com/embed/KQ4CYdCc6yw?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
72,Ejes grafica,https://www.youtube.com/embed/4Q46pJJAQQk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
73,Subplots,https://www.youtube.com/embed/CHcXRjd5s1U?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
74,Graficas de barras,https://www.youtube.com/embed/8Z_q2IThENs?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
75,Graficas de puntos,https://www.youtube.com/embed/6gCKUNOUcew?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
76,Graficas de tarta,https://www.youtube.com/embed/dEr-CLcLBIQ?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
77,Boxplot,https://www.youtube.com/embed/pgbQ-IKxryc?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
78,Mapa de calor,https://www.youtube.com/embed/KpGdp3Ur3yE?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
79,Requisitos necesarios,https://www.youtube.com/embed/CHcXRjd5s1U?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
80,Carga del dataset,https://www.youtube.com/embed/8Z_q2IThENs?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
81,Metodos basicos,https://www.youtube.com/embed/6gCKUNOUcew?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
82,Modulo propio,https://www.youtube.com/embed/dEr-CLcLBIQ?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
83,Normalizacion,https://www.youtube.com/embed/pgbQ-IKxryc?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
84,Agrupacion e histograma,https://www.youtube.com/embed/KpGdp3Ur3yE?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
85,Variables dummies,https://www.youtube.com/embed/aYxL8cyeH3o?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
86,Analisis exploratorio,https://www.youtube.com/embed/rVUjEp9GAOM?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
87,Regresion lineal,https://www.youtube.com/embed/0QR6v0YrznA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
88,Regresion lineal compuesta,https://www.youtube.com/embed/v_gciuu8t2E?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
89,Ampliacion de modulo de datos,https://www.youtube.com/embed/4jUIVxYLFkk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
90,Optimizando el modulo de datos,https://www.youtube.com/embed/HKmGtifHqIU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
91,Arbol de decision,https://www.youtube.com/embed/3OKVDv_8Dvg?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
92,Analisis dataset Propinas,https://www.youtube.com/embed/3sp0KPLeSKk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
93,Analisis dataset Titanic,https://www.youtube.com/embed/PZCfpbDQNZA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
94,Instalando GIT,https://www.youtube.com/embed/dEr-CLcLBIQ?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
95,"Commits, etiquetas GIT",https://www.youtube.com/embed/pgbQ-IKxryc?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
96,Ramas GIT,https://www.youtube.com/embed/KpGdp3Ur3yE?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
97,Unificar ramas GIT,https://www.youtube.com/embed/aYxL8cyeH3o?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
98,GIT desde Visual Studio Code,https://www.youtube.com/embed/rVUjEp9GAOM?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
99,GIT stash,https://www.youtube.com/embed/0QR6v0YrznA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
100,GIT cherry pick,https://www.youtube.com/embed/v_gciuu8t2E?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
101,GIT gitignore,https://www.youtube.com/embed/4jUIVxYLFkk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
102,GIT remoto,https://www.youtube.com/embed/HKmGtifHqIU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
103,Interfaz github,https://www.youtube.com/embed/3OKVDv_8Dvg?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
104,Github desktop,https://www.youtube.com/embed/3sp0KPLeSKk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
105,Github pages,https://www.youtube.com/embed/PZCfpbDQNZA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
106,Colaboracion repositorio,https://www.youtube.com/embed/3EVAtJl_BrA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
107,Introduccion,https://www.youtube.com/embed/3sp0KPLeSKk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
108,Operadores y variables,https://www.youtube.com/embed/TGp3k1CccWA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
109,"Solicitar, mostrar resultados",https://www.youtube.com/embed/Cu5suLAsOUU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
110,Condicional Switch,https://www.youtube.com/embed/HmOzz-NgnrQ?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
111,Bucle For,https://www.youtube.com/embed/KQ4CYdCc6yw?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
112,Bucle While / Do while,https://www.youtube.com/embed/4Q46pJJAQQk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
113,Arrays,https://www.youtube.com/embed/CHcXRjd5s1U?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
114,Primer proyecto,https://www.youtube.com/embed/PZCfpbDQNZA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
115,Bucles,https://www.youtube.com/embed/23mH59Yhu9M?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
116,Fuciones y metodos,https://www.youtube.com/embed/TGp3k1CccWA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
117,Cronometro,https://www.youtube.com/embed/Cu5suLAsOUU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
118,Aforo,https://www.youtube.com/embed/BuaYFB2e-qY?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
119,Pomodoro,https://www.youtube.com/embed/HmOzz-NgnrQ?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
120,Optimizacion y actualizacion app,https://www.youtube.com/embed/KQ4CYdCc6yw?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
121,Calculadora,https://www.youtube.com/embed/3sp0KPLeSKk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
122,Juego Pong,https://www.youtube.com/embed/CHcXRjd5s1U?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
123,Comenzando con Scratch,https://www.youtube.com/embed/3sp0KPLeSKk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
124,Bloques,https://www.youtube.com/embed/PZCfpbDQNZA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
125,Movimientos,https://www.youtube.com/embed/KpGdp3Ur3yE?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
126,Apariencia,https://www.youtube.com/embed/Li8GeI7XvDU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
127,Sonidos,https://www.youtube.com/embed/pgbQ-IKxryc?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
128,Bloque de control,https://www.youtube.com/embed/TGp3k1CccWA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
129,Eventos,https://www.youtube.com/embed/Cu5suLAsOUU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
130,Sensores,https://www.youtube.com/embed/BuaYFB2e-qY?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
131,Juego clasico Pong,https://www.youtube.com/embed/HmOzz-NgnrQ?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
132,Operadores,https://www.youtube.com/embed/KQ4CYdCc6yw?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
133,Mis bloques,https://www.youtube.com/embed/CHcXRjd5s1U?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
134,Juego punto de mira,https://www.youtube.com/embed/8Z_q2IThENs?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
135,Colision y mensajes,https://www.youtube.com/embed/6gCKUNOUcew?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
136,Juego piedra papel tijeras,https://www.youtube.com/embed/dEr-CLcLBIQ?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
137,Juego futbol webcam,https://www.youtube.com/embed/pgbQ-IKxryc?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
138,Juego globos 01,https://www.youtube.com/embed/KpGdp3Ur3yE?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
139,Juego globos 02,https://www.youtube.com/embed/aYxL8cyeH3o?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
140,Juego adivina el numero,https://www.youtube.com/embed/rVUjEp9GAOM?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
141,Juego pong,https://www.youtube.com/embed/0QR6v0YrznA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
142,Conversor monedas,https://www.youtube.com/embed/v_gciuu8t2E?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
143,Juego clon de frogger,https://www.youtube.com/embed/4jUIVxYLFkk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
144,Juego explota pelota,https://www.youtube.com/embed/HKmGtifHqIU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
145,Primeros pasos,https://www.youtube.com/embed/3OKVDv_8Dvg?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
146,Rebote,https://www.youtube.com/embed/PZCfpbDQNZA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
147,Movimiento con teclado,https://www.youtube.com/embed/3EVAtJl_BrA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
148,Colision objetos,https://www.youtube.com/embed/Li8GeI7XvDU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
149,Montando mBot,https://www.youtube.com/embed/CHcXRjd5s1U?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
150,Leds,https://www.youtube.com/embed/6gCKUNOUcew?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
151,"Leds, intermitentes",https://www.youtube.com/embed/dEr-CLcLBIQ?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
152,"Movimiento, con teclas",https://www.youtube.com/embed/aYxL8cyeH3o?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
153,"Movimiento, autonomo",https://www.youtube.com/embed/rVUjEp9GAOM?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
154,Boton placa,https://www.youtube.com/embed/CHcXRjd5s1U?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
155,Temporizador,https://www.youtube.com/embed/4jUIVxYLFkk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
156,Ejercicio leds,https://www.youtube.com/embed/HKmGtifHqIU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
157,Placa y variable,https://www.youtube.com/embed/3OKVDv_8Dvg?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
158,Sensor ultrasonidos,https://www.youtube.com/embed/4Q46pJJAQQk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
159,Detectando obstaculos,https://www.youtube.com/embed/PZCfpbDQNZA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
160,mBot nos sigue,https://www.youtube.com/embed/3EVAtJl_BrA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
161,Sigue lineas,https://www.youtube.com/embed/Li8GeI7XvDU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
162,Barrera luz,https://www.youtube.com/embed/23mH59Yhu9M?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
163,Mando infrarojos,https://www.youtube.com/embed/TGp3k1CccWA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
164,Guardando datos sensor,https://www.youtube.com/embed/Cu5suLAsOUU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
165,Ejercicio adivina numero,https://www.youtube.com/embed/BuaYFB2e-qY?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
166,Detecta suelo,https://www.youtube.com/embed/HmOzz-NgnrQ?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
167,Modificaciones a adivina numero,https://www.youtube.com/embed/KQ4CYdCc6yw?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
168,Sensor iluminacion,https://www.youtube.com/embed/8Z_q2IThENs?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
169,Comenzando con Dart,https://www.youtube.com/embed/BuaYFB2e-qY?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
170,Tipos datos basicos,https://www.youtube.com/embed/HmOzz-NgnrQ?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
171,Bucles y condiciones,https://www.youtube.com/embed/KQ4CYdCc6yw?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
172,Clases,https://www.youtube.com/embed/CHcXRjd5s1U?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
173,Clases abstractas,https://www.youtube.com/embed/8Z_q2IThENs?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
174,Imports,https://www.youtube.com/embed/6gCKUNOUcew?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
175,Introduccion Contabilidad,https://www.youtube.com/embed/dEr-CLcLBIQ?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
176,Hechos contables,https://www.youtube.com/embed/pgbQ-IKxryc?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
177,Leyes de cuentas,https://www.youtube.com/embed/KpGdp3Ur3yE?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
178,Gastos e ingresos,https://www.youtube.com/embed/aYxL8cyeH3o?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
179,Instalacion de contasol,https://www.youtube.com/embed/rVUjEp9GAOM?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
180,Ejemplo con contasol,https://www.youtube.com/embed/0QR6v0YrznA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
181,Arqueo de caja,https://www.youtube.com/embed/KQ4CYdCc6yw?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
182,BuscarV - BuscarH,https://www.youtube.com/embed/4Q46pJJAQQk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
183,Cuadro amortizacion,https://www.youtube.com/embed/CHcXRjd5s1U?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
184,Macros,https://www.youtube.com/embed/8Z_q2IThENs?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
185,Existencias,https://www.youtube.com/embed/3sp0KPLeSKk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
186,Plan General de contabilidad,https://www.youtube.com/embed/PZCfpbDQNZA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
187,Etapas del proceso contable,https://www.youtube.com/embed/3EVAtJl_BrA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
188,"Supuesto practico, balance",https://www.youtube.com/embed/Li8GeI7XvDU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
189,Tesoreria,https://www.youtube.com/embed/23mH59Yhu9M?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
190,Supuesto practico,https://www.youtube.com/embed/TGp3k1CccWA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
191,IVA,https://www.youtube.com/embed/Cu5suLAsOUU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
192,Acreedores / Deudores,https://www.youtube.com/embed/BuaYFB2e-qY?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
193,Supuesto 03. Carreras,https://www.youtube.com/embed/HmOzz-NgnrQ?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
194,Efectos comerciales,https://www.youtube.com/embed/KQ4CYdCc6yw?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
195,"Supuesto 04, ContaSA",https://www.youtube.com/embed/4Q46pJJAQQk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
196,Activo inmovilizado,https://www.youtube.com/embed/CHcXRjd5s1U?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
197,"Supuesto 05, MaSA",https://www.youtube.com/embed/8Z_q2IThENs?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
198,"Supuesto 06, ConstanSA",https://www.youtube.com/embed/6gCKUNOUcew?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
199,Inversiones financieras,https://www.youtube.com/embed/dEr-CLcLBIQ?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
